,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
45,adrar,0,DZ,1533517200,25,93.2,27.87,-0.29,11.41
46,vestmannaeyjar,100,IS,1533522195,85,52.23,63.44,-20.27,15.68
47,ko samui,20,TH,1533519000,74,84.2,9.54,99.94,6.93
48,ekhabi,0,RU,1533522624,50,78.51,53.51,142.97,13.78
49,eureka,1,US,1533520500,82,60.8,40.8,-124.16,5.82
50,talnakh,68,RU,1533521951,89,45.93,69.49,88.39,5.28
51,deputatskiy,0,RU,1533522625,45,56.28,69.3,139.9,4.38
52,qaanaaq,68,GL,1533521916,82,40.89,77.48,-69.36,12.21
53,longyearbyen,20,NO,1533520200,93,42.8,78.22,15.63,5.82
54,nikolskoye,20,RU,1533519000,88,64.4,59.7,30.79,6.71
55,ostrovnoy,48,RU,1533522232,100,48.99,68.05,39.51,7.96
56,miami,75,US,1533521280,78,84.2,25.77,-80.19,3.36
57,lebu,90,ET,1533520800,87,55.4,8.96,38.73,4.7
58,bredasdorp,20,ZA,1533517200,71,50.0,-34.53,20.04,9.17
59,hofn,92,IS,1533522244,100,48.54,64.25,-15.21,15.12
60,thompson,40,CA,1533520800,76,55.4,55.74,-97.86,2.59
61,chulman,0,RU,1533522628,51,59.43,56.84,124.9,3.6
62,mar del plata,32,AR,1533522162,85,45.39,-46.43,-67.52,5.17
63,jagdalpur,92,IN,1533522628,100,70.59,19.09,82.02,11.1
64,aranos,0,NA,1533522629,26,43.86,-24.14,19.11,6.96
65,alofi,92,NU,1533517200,73,73.4,-19.06,-169.92,8.05
66,east london,0,ZA,1533522156,100,58.26,-33.02,27.91,10.42
67,vao,56,EE,1533522325,89,61.59,59.1,26.19,11.43
68,georgetown,0,GY,1533517200,88,78.8,6.8,-58.16,4.7
69,albany,20,US,1533520440,83,77.0,42.65,-73.75,3.04
70,xinpu,40,TW,1533520800,67,95.0,24.83,121.07,10.29
71,puerto ayora,80,EC,1533522198,100,70.23,-0.74,-90.35,12.77
72,nantucket,1,US,1533521700,100,75.2,41.28,-70.1,5.82
73,tiznit,44,MA,1533522631,100,66.27,29.7,-9.73,3.38
74,ugoofaaru,92,MV,1533522632,99,82.74,5.67,73.0,14.67
75,saint-philippe,1,CA,1533520800,78,80.6,45.36,-73.48,3.36
76,sijunjung,80,ID,1533522632,90,75.81,-0.69,100.95,1.92
77,hashtrud,0,IR,1533522632,70,56.82,37.48,47.05,3.04
78,kapaa,75,US,1533520560,78,84.2,22.08,-159.32,16.11
79,kavieng,92,PG,1533521952,100,75.27,-2.57,150.8,5.06
80,port elizabeth,20,US,1533520560,83,82.4,39.31,-74.98,8.86
81,grindavik,0,IS,1533519000,87,53.6,63.84,-22.43,10.29
82,amuntai,0,ID,1533522634,77,83.91,-2.42,115.25,2.82
83,smolenka,0,PL,1533522634,86,61.32,54.15,22.76,11.65
84,port lavaca,40,US,1533520500,79,84.2,28.61,-96.63,8.05
85,kahului,40,US,1533520560,58,86.0,20.89,-156.47,20.8
86,minbu,92,MM,1533522635,100,75.45,20.18,94.88,7.18
87,butaritari,12,KI,1533522138,100,85.26,3.07,172.79,4.83
88,faya,20,SA,1533517200,82,66.2,18.39,42.45,3.36
89,anshun,76,CN,1533522636,88,73.65,26.25,105.93,4.16
90,vylok,76,UA,1533520800,94,68.0,48.11,22.84,5.82
91,nouadhibou,75,MR,1533517200,88,69.8,20.93,-17.03,16.11
92,concepcion del uruguay,0,AR,1533522638,91,44.76,-32.48,-58.24,6.29
93,taoudenni,76,ML,1533522639,43,84.54,22.68,-3.98,5.28
94,husavik,0,CA,1533522258,88,59.16,50.56,-96.99,10.76
95,nanortalik,56,GL,1533522268,100,39.81,60.14,-45.24,8.97
96,goderich,20,CA,1533522639,64,78.24,43.74,-81.71,10.98
97,jiazi,40,CN,1533520800,79,86.0,19.61,110.49,4.47
98,tres arroyos,12,AR,1533522640,52,49.89,-38.38,-60.28,11.65
99,sitka,32,US,1533522154,32,88.5,37.17,-99.65,16.13
100,airai,0,TL,1533522142,47,81.57,-8.93,125.41,2.04
101,shimoda,75,JP,1533518580,79,86.0,34.7,138.93,8.05
102,kruisfontein,0,ZA,1533522642,94,50.97,-34.0,24.73,6.85
103,vaini,92,IN,1533522145,98,70.05,15.34,74.49,10.98
104,oriximina,20,BR,1533522642,78,78.06,-1.77,-55.87,2.82
105,constitucion,75,MX,1533520080,27,73.4,23.99,-104.67,17.22
106,portland,75,US,1533520560,24,91.4,45.52,-122.67,4.7
107,ancud,92,CL,1533522319,98,49.35,-41.87,-73.83,5.39
108,gosainganj,75,IN,1533519000,94,78.8,26.77,81.11,4.61
109,churapcha,92,RU,1533522644,97,54.03,62.0,132.43,3.94
110,kaitangata,44,NZ,1533521923,86,49.62,-46.28,169.85,4.83
111,shihezi,12,CN,1533522380,28,86.88,44.3,86.03,3.6
112,shymkent,0,KZ,1533520800,36,80.6,42.31,69.59,4.47
113,hilo,75,US,1533520560,74,80.6,19.71,-155.08,11.41
114,tual,32,ID,1533522645,99,79.77,-5.67,132.75,8.86
115,cherskiy,0,RU,1533521953,51,56.64,68.75,161.3,5.28
116,kampot,64,KH,1533522646,82,81.93,10.62,104.18,7.29
117,bealanana,0,MG,1533522646,91,41.7,-14.54,48.75,2.59
118,riyadh,0,SA,1533517200,13,89.6,24.63,46.72,4.7
119,arraial do cabo,32,BR,1533522211,100,68.61,-22.97,-42.02,7.63
120,tavda,92,RU,1533522647,73,58.35,58.04,65.27,8.75
121,kloulklubed,75,PW,1533520200,74,86.0,7.04,134.26,11.41
122,upernavik,8,GL,1533522226,86,42.78,72.79,-56.15,12.33
123,chuy,8,UY,1533522170,89,43.14,-33.69,-53.46,2.71
124,zamboanga,75,PH,1533520800,78,82.4,6.91,122.07,9.17
125,sabha,44,LY,1533522648,22,86.07,27.03,14.43,13.0
126,altagracia de orituco,12,VE,1533522643,84,75.72,9.86,-66.38,8.08
127,banda aceh,24,ID,1533522352,69,84.09,5.56,95.32,7.18
128,belmonte,0,PT,1533522649,56,70.5,40.36,-7.35,2.93
129,nuuk,0,GL,1533520200,100,37.4,64.17,-51.74,4.7
130,songea,5,TZ,1533517200,82,55.4,-10.68,35.65,3.6
131,watrous,0,CA,1533522651,49,63.93,51.67,-105.46,4.5
132,khanpur,8,PK,1533522651,54,90.03,28.65,70.66,12.21
133,odienne,88,CI,1533522651,99,68.61,9.51,-7.57,3.27
134,dawson creek,1,CA,1533520800,47,77.0,55.76,-120.23,6.93
135,hobart,75,AU,1533519000,76,51.8,-42.88,147.33,8.05
136,guanica,5,PR,1533520200,94,75.2,17.97,-66.91,3.36
137,iquitos,56,PE,1533522652,88,75.9,-3.75,-73.25,4.27
138,cuiluan,0,CN,1533522653,65,75.9,47.72,128.65,3.38
139,whitehorse,75,CA,1533520800,40,71.6,60.72,-135.06,16.11
140,severo-kurilsk,44,RU,1533522160,87,57.54,50.68,156.12,3.27
141,neuquen,75,AR,1533520800,66,55.4,-38.95,-68.06,3.36
142,ribeira grande,0,PT,1533522179,100,71.76,38.52,-28.7,10.42
143,goma,20,CD,1533522626,93,55.2,-1.67,29.23,4.61
144,cabo san lucas,20,MX,1533520200,54,93.2,22.89,-109.91,11.41
145,port alfred,0,ZA,1533522181,100,51.42,-33.59,26.89,4.94
146,atuona,0,PF,1533522196,99,79.77,-9.8,-139.03,20.6
147,milagro,20,EC,1533520800,78,73.4,-2.13,-79.59,14.99
148,tazmalt,20,DZ,1533520800,88,75.2,36.39,4.4,1.7
149,saskylakh,0,RU,1533522158,66,62.31,71.97,114.09,15.46
150,bourail,0,NC,1533522656,50,74.55,-21.57,165.5,7.18
151,golden,0,CA,1533522535,65,57.36,51.3,-116.96,1.59
152,santa vitoria do palmar,8,BR,1533522657,89,43.14,-33.52,-53.37,2.71
153,jinji,20,CN,1533522657,74,88.32,22.16,112.49,3.38
154,haines junction,12,CA,1533522657,53,60.87,60.75,-137.51,3.6
155,sangmelima,92,CM,1533522658,96,68.52,2.93,11.98,2.37
156,ahipara,0,NZ,1533521985,93,56.37,-35.17,173.16,8.08
157,coracora,0,PE,1533522658,70,23.16,-15.02,-73.78,2.93
158,la tuque,88,CA,1533522659,72,72.48,47.44,-72.79,5.06
159,mitu,0,IR,1533522659,63,57.72,36.2,46.09,1.59
160,erenhot,92,CN,1533522249,87,73.2,43.65,111.97,11.32
161,chokurdakh,44,RU,1533522225,84,41.25,70.62,147.9,12.55
162,tessalit,68,ML,1533522660,68,77.43,20.2,1.01,7.29
163,sorland,92,NO,1533522660,100,55.92,67.67,12.69,13.78
164,porto novo,75,BR,1533520800,72,60.8,-23.68,-45.44,2.24
165,kawasaki,75,JP,1533520800,84,89.6,35.52,139.71,13.87
166,guantanamo,76,BO,1533522662,99,58.08,-16.14,-62.05,2.59
167,dzhebariki-khaya,92,RU,1533522663,97,53.31,62.22,135.8,4.38
168,port augusta,40,AU,1533517200,58,55.4,-32.49,137.76,20.8
169,ornskoldsvik,0,SE,1533520200,76,51.8,63.29,18.72,11.41
170,beringovskiy,92,RU,1533522204,100,51.96,63.05,179.32,5.28
171,provideniya,90,RU,1533519000,81,48.2,64.42,-173.23,8.95
172,bambous virieux,20,MU,1533520800,64,68.0,-20.34,57.76,9.17
173,trelew,0,AR,1533522179,80,37.74,-43.25,-65.31,2.59
174,vila velha,75,BR,1533520800,78,80.6,-3.71,-38.6,12.75
175,zeya,0,RU,1533522665,47,63.84,53.74,127.27,4.5
176,castro,92,CL,1533522172,100,47.64,-42.48,-73.76,3.49
177,avarua,40,CK,1533520800,64,75.2,-21.21,-159.78,8.05
178,dunedin,32,NZ,1533522002,79,48.72,-45.87,170.5,3.94
179,thabazimbi,0,ZA,1533522667,49,48.72,-24.59,27.41,2.37
180,marawi,68,PH,1533522668,85,75.72,8.0,124.29,6.29
181,sao joao evangelista,76,BR,1533522668,88,66.54,-18.55,-42.76,2.59
182,aquiraz,75,BR,1533520800,78,80.6,-3.9,-38.39,12.75
183,kushiro,75,JP,1533520800,77,60.8,43.11,144.15,4.7
184,yatou,75,CM,1533520800,94,75.2,3.63,9.81,9.75
185,rosarito,40,CO,1533520800,88,71.6,4.91,-75.23,4.7
186,nizhniy kuranakh,0,RU,1533522670,56,58.71,58.84,125.49,3.6
187,katsuura,75,JP,1533519480,66,89.6,33.93,134.5,5.82
188,jalu,0,LY,1533521957,48,78.51,29.03,21.55,8.3
189,carbondale,1,US,1533520380,38,89.6,38.82,-95.69,9.17
190,dikson,92,RU,1533522439,99,40.62,73.51,80.55,17.81
191,sistranda,75,NO,1533520200,87,53.6,63.73,8.83,18.34
192,yeppoon,40,AU,1533519000,54,78.8,-23.13,150.74,10.29
193,kutum,8,SD,1533522494,89,63.66,14.2,24.66,3.71
194,peterhead,75,AU,1533520800,87,48.2,-34.83,138.5,20.8
195,virginia beach,1,US,1533522000,78,82.4,36.85,-75.98,5.39
196,ust-omchug,64,RU,1533522673,73,58.35,61.13,149.63,3.38
197,tongliao,100,CN,1533522674,90,71.22,43.61,122.27,8.19
198,mayumba,48,GA,1533522674,96,68.88,-3.44,10.65,0.69
199,banepa,90,NP,1533520200,100,68.0,27.63,85.52,6.93
200,lata,92,IN,1533522675,100,61.68,30.78,78.62,0.92
201,vila franca do campo,75,PT,1533520800,73,69.8,37.72,-25.43,10.29
202,oranjestad,20,AW,1533520800,78,82.4,12.52,-70.03,20.8
203,fort nelson,75,CA,1533520800,38,77.0,58.81,-122.69,6.93
204,naze,75,NG,1533517200,94,73.4,5.43,7.07,2.24
205,gobabis,0,NA,1533522676,42,50.52,-22.45,18.97,8.08
206,ust-uda,20,RU,1533522677,86,67.35,54.17,103.03,6.29
207,sao filipe,92,CV,1533522677,99,77.43,14.9,-24.5,2.26
208,praia,0,BR,1533520800,88,66.2,-20.25,-43.81,2.71
209,atoka,1,US,1533520500,45,86.0,34.39,-96.13,8.75
210,businga,64,CD,1533522678,94,72.39,3.34,20.89,3.15
211,rognan,75,NO,1533520200,87,55.4,67.1,15.4,10.29
212,san patricio,0,PY,1533522245,83,41.88,-26.98,-56.83,2.26
213,mandurah,90,AU,1533519000,93,51.8,-32.55,115.7,8.05
214,znamenskoye,0,RU,1533522680,63,63.48,57.13,73.82,6.4
215,bulungu,0,CD,1533522680,87,68.97,-4.54,18.6,2.59
216,khatanga,24,RU,1533522161,77,62.4,71.98,102.47,15.23
217,kargasok,44,RU,1533522680,72,58.26,59.06,80.87,3.38
218,terrace,20,CA,1533520800,32,84.2,54.52,-128.61,16.11
219,gushikawa,1,JP,1533520800,74,87.8,26.35,127.87,8.05
220,dalvik,0,SE,1533520200,87,55.4,57.79,14.13,4.7
221,tuatapere,8,NZ,1533521934,100,49.35,-46.13,167.69,3.27
222,geilo,64,NO,1533522682,76,41.07,60.53,8.21,2.48
223,bubaque,40,GW,1533520800,94,77.0,11.28,-15.83,5.82
224,guarapari,90,BR,1533520800,94,73.4,-20.67,-40.5,4.7
225,niort,0,FR,1533519000,64,73.4,46.32,-0.46,2.24
226,charqueadas,0,BR,1533520800,100,51.8,-29.96,-51.62,4.7
227,bondoukou,88,CI,1533522683,92,71.58,8.04,-2.8,6.85
228,kulhudhuffushi,88,MV,1533522321,99,82.56,6.62,73.07,15.68
229,sinaloa,5,MX,1533520620,10,109.4,32.55,-115.28,5.82
230,summerville,90,US,1533521700,94,78.8,33.02,-80.17,3.36
231,chilliwack,20,CA,1533520800,42,82.4,49.17,-121.95,9.17
232,chalus,75,IR,1533520800,78,80.6,36.66,51.42,4.38
233,moree,92,AU,1533522686,100,54.12,-29.46,149.84,17.25
234,black river,20,JM,1533520800,79,84.2,18.03,-77.85,9.17
235,gamba,88,CN,1533522687,100,38.91,28.28,88.52,2.37
236,la palma,20,CO,1533522687,95,66.54,5.36,-74.39,0.69
237,viedma,20,AR,1533522312,78,43.41,-40.81,-62.99,2.82
238,scarborough,20,GB,1533520200,87,60.8,54.28,-0.41,2.24
239,zhengjiatun,92,CN,1533522566,83,75.09,43.51,123.51,7.85
240,port blair,92,IN,1533522281,100,82.02,11.67,92.75,30.11
241,nara,20,JP,1533519000,59,93.2,34.68,135.8,6.93
242,mujiayingzi,64,CN,1533522572,90,75.36,42.12,118.78,3.6
243,wuwei,100,CN,1533522689,100,62.22,37.93,102.64,3.83
244,bilma,12,NE,1533522239,44,83.64,18.69,12.92,7.07
245,manama,0,AE,1533520800,54,87.8,25.33,56.02,4.7
246,dongsheng,0,CN,1533522691,77,93.0,29.72,112.52,7.29
247,rio verde de mato grosso,88,BR,1533522691,79,66.72,-18.92,-54.84,7.4
248,oistins,20,BB,1533517200,88,80.6,13.07,-59.53,12.75
249,bongandanga,8,CD,1533522692,96,72.21,1.51,21.07,2.15
250,benguela,0,AO,1533522300,100,64.92,-12.58,13.4,1.36
251,muzhi,32,RU,1533522692,65,53.94,65.4,64.7,10.54
252,vuktyl,92,RU,1533522693,65,55.56,63.86,57.31,4.83
253,hovd,75,NO,1533520200,81,53.6,63.83,10.7,13.87
254,ruteng,56,ID,1533522693,94,74.46,-8.61,120.46,2.82
255,ulladulla,40,AU,1533521100,42,64.4,-35.36,150.48,18.34
256,namibe,0,AO,1533522164,99,64.56,-15.19,12.15,12.66
257,aloleng,92,PH,1533522694,100,79.86,16.13,119.78,11.1
258,geraldton,40,CA,1533520800,100,60.8,49.72,-86.95,4.94
259,nome,1,US,1533520500,74,82.4,30.04,-94.42,4.7
260,harper,1,US,1533520500,42,84.2,30.3,-99.24,10.42
261,kendari,0,ID,1533522246,64,85.17,-3.99,122.52,4.94
262,mindyak,20,RU,1533520800,93,60.8,54.02,58.79,6.71
263,aklavik,75,CA,1533520800,71,55.4,68.22,-135.01,3.36
264,lethem,0,GY,1533522250,92,73.83,3.38,-59.8,5.61
265,ponta do sol,44,BR,1533522170,87,57.09,-20.63,-46.0,2.59
266,dudinka,76,RU,1533522697,96,49.17,69.41,86.18,5.73
267,port-gentil,88,GA,1533522508,98,74.01,-0.72,8.78,11.32
268,klaksvik,100,FO,1533520200,100,51.8,62.23,-6.59,6.93
269,todos santos,40,MX,1533520800,48,93.2,23.45,-110.23,11.41
270,macau,0,BR,1533522698,69,77.07,-5.11,-36.64,13.0
271,murgab,0,TM,1533520800,44,78.8,37.5,61.97,3.71
272,hermosillo,40,MX,1533519600,42,100.4,29.09,-110.96,14.99
273,saint anthony,1,US,1533520560,33,77.0,43.97,-111.68,5.82
274,bandarbeyla,0,SO,1533522700,88,77.52,9.49,50.81,27.09
275,dzilam gonzalez,0,MX,1533522701,83,78.42,21.28,-88.93,5.73
276,college,90,US,1533520740,87,60.8,64.86,-147.8,9.17
277,tarko-sale,48,RU,1533522701,89,52.59,64.92,77.78,6.17
278,winslow,0,GB,1533522000,82,62.6,51.94,-0.88,4.7
279,san cristobal,20,EC,1533517200,87,51.8,-0.39,-78.55,11.41
280,hervey bay,0,AU,1533522289,81,71.94,-25.3,152.85,11.99
281,chicama,0,PE,1533522702,94,60.96,-7.84,-79.15,3.94
282,khasan,76,RU,1533522703,99,71.76,42.43,130.64,7.07
283,ngunguru,36,NZ,1533522174,100,57.72,-35.62,174.5,4.16
284,plougastel-daoulas,0,FR,1533520800,93,66.2,48.37,-4.37,3.36
285,northam,75,GB,1533522000,100,64.4,51.04,-4.21,3.36
286,mumbwa,0,ZM,1533522704,63,48.36,-14.99,27.06,5.73
287,poum,0,MK,1533520800,87,57.2,41.28,20.71,3.36
288,nadym,76,RU,1533522705,70,54.12,65.53,72.51,7.4
289,novoagansk,48,RU,1533522706,96,53.49,61.94,76.66,3.6
290,barcelos,90,PT,1533520800,100,68.0,41.53,-8.62,3.36
291,sibolga,24,ID,1533522257,84,77.07,1.74,98.78,2.59
292,natal,20,BR,1533520800,78,77.0,-5.81,-35.21,5.82
293,bagotville,8,AU,1533522591,85,72.3,-28.98,153.42,17.02
294,aykino,88,RU,1533522707,93,58.08,62.22,49.99,10.09
295,iracoubo,8,GF,1533522708,83,77.61,5.48,-53.21,5.17
296,port hardy,75,CA,1533520800,77,62.6,50.7,-127.42,8.05
297,port hedland,0,AU,1533519000,17,66.2,-20.31,118.58,19.46
298,carnarvon,0,ZA,1533522200,67,20.37,-30.97,22.13,2.59
299,mehamn,88,NO,1533521962,100,46.2,71.03,27.85,11.54
300,codrington,36,AU,1533522218,59,70.14,-28.95,153.24,10.65
301,talcahuano,90,CL,1533520800,93,53.6,-36.72,-73.12,8.05
302,daliao,20,TW,1533520800,55,89.6,22.61,120.4,4.7
303,saint austell,0,GB,1533520200,100,59.0,50.34,-4.77,9.17
304,pokhara,44,NP,1533522710,71,70.32,28.21,83.99,2.71
305,buraydah,0,SA,1533520800,21,93.2,26.33,43.97,10.29
306,moshupa,0,BW,1533520800,36,46.4,-24.78,25.42,3.36
307,touros,68,BR,1533522221,83,77.52,-5.2,-35.46,14.0
308,flinders,40,AU,1533521100,42,64.4,-34.58,150.85,18.34
309,saint-augustin,0,FR,1533519000,69,73.4,44.83,-0.61,3.36
310,jabinyanah,40,TN,1533517200,78,78.8,35.03,10.91,4.7
311,am timan,92,TD,1533522713,98,69.51,11.04,20.28,5.61
312,samarai,64,PG,1533522285,100,78.24,-10.62,150.67,13.44
313,faanui,20,PF,1533522194,100,80.31,-16.48,-151.75,13.67
314,havoysund,75,NO,1533520200,87,46.4,71.0,24.66,9.17
315,bandar-e lengeh,8,IR,1533520800,75,89.6,26.56,54.88,4.7
316,tateyama,75,JP,1533520800,70,86.0,36.66,137.31,4.7
317,tsaratanana,0,MG,1533522714,93,58.17,-16.8,47.65,5.06
318,flin flon,0,CA,1533522214,61,62.13,54.77,-101.88,5.17
319,praia da vitoria,75,PT,1533520800,77,69.8,38.73,-27.07,12.55
320,murom,0,RU,1533522715,81,66.63,55.57,42.04,10.42
321,santa cruz,1,US,1533520560,77,86.0,36.97,-122.03,6.93
322,tigil,92,RU,1533522717,77,62.85,57.8,158.67,5.95
323,itarema,0,BR,1533522718,85,76.62,-2.92,-39.92,14.34
324,salym,0,RU,1533522719,61,61.23,60.06,71.48,3.6
325,verkhnevilyuysk,0,RU,1533522719,59,62.76,63.45,120.31,4.27
326,mongoumba,92,CD,1533522719,100,68.79,3.64,18.59,2.59
327,bosanski novi,24,BA,1533522720,92,65.64,45.05,16.38,1.48
328,baykit,20,RU,1533522197,83,51.51,61.68,96.39,8.08
329,moose factory,90,CA,1533520980,88,66.2,51.26,-80.61,2.24
330,labuhan,8,ID,1533522566,71,83.82,-2.54,115.51,4.16
331,tevriz,8,RU,1533522721,65,62.67,57.51,72.4,3.71
332,janesville,90,US,1533521700,88,77.0,42.68,-89.02,9.17
333,kailua,75,US,1533521400,74,82.4,21.39,-157.74,11.41
334,sao miguel do araguaia,0,BR,1533522323,84,71.4,-13.28,-50.16,2.71
335,victor harbor,75,AU,1533520800,87,48.2,-35.55,138.62,20.8
336,saint george,20,GR,1533520200,60,68.0,39.45,22.34,3.36
337,cockburn town,0,TC,1533522167,97,82.74,21.46,-71.14,17.47
338,lasa,40,CY,1533520800,78,77.0,34.92,32.53,3.36
339,grand gaube,20,MU,1533520800,64,68.0,-20.01,57.66,9.17
340,ilulissat,40,GL,1533516600,65,46.4,69.22,-51.1,1.12
341,vanderhoof,0,CA,1533522724,53,70.59,54.02,-124.02,3.04
342,bhatkal,92,IN,1533522724,100,73.65,13.97,74.57,8.41
343,kearney,1,US,1533521700,94,75.2,40.7,-99.08,5.82
344,kirakira,12,SB,1533522725,100,80.94,-10.46,161.92,14.79
345,timizart,0,DZ,1533522725,98,63.84,36.8,4.25,1.7
346,paamiut,0,GL,1533522265,97,41.79,61.99,-49.67,1.25
347,odessa,1,US,1533520500,30,87.8,31.85,-102.37,16.11
348,saint-pierre,0,FR,1533520800,68,68.0,48.95,4.24,5.82
349,arlit,0,NE,1533522726,67,79.14,18.74,7.39,8.41
350,lorengau,92,PG,1533521871,100,77.79,-2.02,147.27,6.4
351,carutapera,8,BR,1533522271,90,77.61,-1.2,-46.02,8.41
352,indianola,1,US,1533520380,83,75.2,40.24,-100.42,6.93
353,inhambane,0,MZ,1533522186,100,68.43,-23.87,35.38,10.2
354,saldanha,0,PT,1533522264,67,65.37,41.42,-6.55,2.93
355,juarez,75,AR,1533520800,66,55.4,-38.95,-67.92,3.36
356,coloso,8,CO,1533522728,83,82.47,9.49,-75.36,9.42
357,oshawa,1,CA,1533520800,74,82.4,43.92,-78.86,9.17
358,isangel,0,VU,1533522254,100,71.31,-19.55,169.27,14.45
359,pareora,24,NZ,1533522729,99,47.64,-44.49,171.21,3.6
360,nieuwpoort,0,BE,1533522000,77,68.0,51.13,2.75,6.93
361,lagoa,0,PT,1533520800,47,80.6,37.14,-8.45,3.36
362,namatanai,92,PG,1533521944,100,79.41,-3.66,152.44,6.62
363,roma,0,IT,1533520200,69,77.0,41.89,12.48,3.36
364,gao,20,ML,1533522731,69,81.75,16.28,-0.04,9.53
365,wasilla,90,US,1533520920,77,66.2,61.58,-149.44,4.7
366,kasane,0,BW,1533522732,57,51.87,-17.8,25.16,3.04
367,garowe,0,SO,1533522732,62,75.36,8.41,48.48,17.47
368,boa vista,0,BR,1533520800,88,78.8,2.82,-60.67,2.24
369,belem de sao francisco,8,BR,1533522733,58,73.74,-8.75,-38.97,12.21
370,lavrentiya,48,RU,1533522163,94,46.38,65.58,-170.99,10.2
371,ewo,80,CG,1533522733,98,68.79,-0.88,14.81,5.39
372,yerbogachen,20,RU,1533522313,61,62.04,61.28,108.01,4.16
373,akersberga,64,SE,1533520200,87,57.2,59.48,18.3,3.36
374,miracema do tocantins,48,BR,1533522734,61,75.36,-9.56,-48.4,5.61
375,zhangye,100,CN,1533522570,100,63.84,38.94,100.46,4.38
376,fairbanks,90,US,1533520740,87,60.8,64.84,-147.72,9.17
377,middlebury,1,US,1533520560,61,80.6,44.01,-73.17,10.29
378,kyabe,76,TD,1533522735,88,73.29,9.45,18.94,8.08
379,soe,20,EE,1533520200,100,59.0,57.91,26.05,6.93
380,puerto el triunfo,20,SV,1533520200,78,82.4,13.27,-88.55,4.7
381,kota kinabalu,75,MY,1533519000,83,80.6,5.98,116.07,3.36
382,karmala,76,IN,1533522736,82,75.36,18.41,75.19,18.7
383,barinas,40,VE,1533517200,88,77.0,8.64,-70.23,4.27
384,yulara,0,AU,1533520800,35,55.4,-25.24,130.99,12.75
385,voyvozh,76,RU,1533522737,72,57.09,62.89,54.96,9.86
386,vardo,1,US,1533520500,74,82.4,39.62,-77.74,4.7
